ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512230,Source2,1,2022-09-08 05:49:30,2022-09-08 06:34:53,41.946796,-88.20809200000002,,,0.0,Crash on CR-11 Army Trail Rd at IL-59.,Army Trail Rd,Bartlett,DuPage,IL,60103,US,US/Central,KDPA,2022-09-08 05:52:00,58.0,58.0,90.0,29.24,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512231,Source2,1,2022-09-08 02:02:05,2022-09-08 04:31:32,34.521172,-117.958076,,,0.0,Crash on CA-138 Pearblossom Hwy at 96th St.,Pearblossom Hwy,Littlerock,Los Angeles,CA,93543,US,US/Pacific,KPMD,2022-09-08 01:53:00,86.0,86.0,28.0,27.35,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512232,Source2,1,2022-09-08 05:14:12,2022-09-08 07:38:17,37.542839,-77.44178000000002,,,0.0,Crash on 2nd St Northbound at Franklin St.,N 2nd St,Richmond,Richmond City,VA,23219,US,US/Eastern,KRIC,2022-09-08 05:16:00,68.0,68.0,96.0,29.71,10.0,N,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-512233,Source2,1,2022-09-08 06:22:57,2022-09-08 06:52:42,40.896629,-81.17845200000002,,,0.0,Crash on US-62 Atlantic Blvd Westbound after OH-173 State St.,Atlantic Blvd NE,Alliance,Stark,OH,44601,US,US/Eastern,KCAK,2022-09-08 06:51:00,62.0,62.0,86.0,28.71,7.0,NNE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512234,Source2,2,2022-09-08 06:36:20,2022-09-08 07:05:58,41.409359,-81.644318,,,1.9099999666213991,Crash on entry ramp to I-77 Northbound at Exit 20A-B from I-480 Westbound.,I-77 N,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,2022-09-08 06:53:00,63.0,63.0,87.0,29.37,7.0,SSE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512235,Source2,1,2022-09-08 05:10:50,2022-09-08 07:36:00,39.927639,-76.804893,,,1.5900000333786009,Crash on PA-616 Trinity Rd between Graybill Rd and Rolling Meadow Ct.,Rolling Meadow Ct,York,York,PA,17408,US,US/Eastern,KTHV,2022-09-08 04:53:00,65.0,65.0,93.0,29.45,9.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512236,Source2,2,2022-09-08 06:52:22,2022-09-08 07:21:58,39.795696,-83.225243,,,0.0,Crash on I-71 Northbound after Exit 84 OH-56.,I-71,Orient,Pickaway,OH,43146,US,US/Eastern,KTZR,2022-09-08 06:50:00,53.0,53.0,99.0,29.01,7.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512237,Source2,2,2022-09-08 06:52:22,2022-09-08 07:32:43,39.97356,-83.012337,,,0.0,Right hand shoulder blocked due to crash on I-670 Westbound at OH-315 .,2B,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,2022-09-08 06:51:00,58.0,58.0,97.0,29.13,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512238,Source2,1,2022-09-08 06:10:34,2022-09-08 06:40:17,33.771770000000004,-79.719116,,,0.0,Crash on SC-512 Cade Rd at Five Bridges Rd.,Five Bridges Rd,Lake City,Williamsburg,SC,29560,US,US/Eastern,KCKI,2022-09-08 06:15:00,70.0,70.0,100.0,29.75,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512239,Source2,1,2022-09-08 06:10:07,2022-09-08 06:39:51,33.863682,-81.238472,,,0.0,Crash on Boiling Springs Rd at Bluefield Rd.,Bluefield Rd,Lexington,Lexington,SC,29073-8066,US,US/Eastern,KCAE,2022-09-08 05:56:00,70.0,70.0,97.0,29.57,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
